Name,Score,Address,City,Zip
Plaza del Toro,100.0,105 SE Taylor St,Portland,97214.0
Market Street Salad Bar & Deli,100.0,105 SW Market St,Portland,97201.0
Melting Pot,100.0,1050 SW 6th Ave,Portland,97204.0
Sayler's Old Country Kitchen,93.66666667,10519 SE Stark St,Portland,97216.0
Tony's Tavern,99.25,10524 NE Sandy Blvd,Portland,97220.0
Sadie Mae's Deli,100.0,10530 SE Washington St,Portland,97216.0
"Hometown Buffet, #306",87.66666667,10542 SE Washington St,Portland,97216.0
Tea Bar #3,98.0,1055 NW Northrup St,Portland,97209.0
Rumpus Room Bar and Grill,84.66666667,10555 SE Division St,Portland,97266.0
Garden Bar,92.0,1061 NE 9th Ave,Portland,97232.0
Cherrywood Village,96.66666667,10610 SE Clay St,Portland,97216.0
Fork and Spoon Food House,100.0,10634 NE Sandy Boulevard,Portland,97220.0
Jones Bar,100.0,107 NW Couch St,Portland,97209.0
Ambonnay,97.83333333,107 SE Washington St,Portland,97214.0
Decoy,95.66666667,10710 NW St Helens Rd,Portland,97231.0
Kings Omelets,98.33333333,10711 NE Halsey St,Portland,97220.0
Homeplate Cafe Delta Park,98.5,10737 N Union Ct,Portland,97217.0
Paterson,100.0,108 NE 28th Ave,Portland,97232.0
Clamity Jaes,91.0,10805 NE Halsey St,Portland,97220.0
Lighthouse Inn,94.66666667,10808 NW St Helens Rd,Portland,97231.0
Josephs Cafe Deli,98.33333333,10812 NE Halsey St,Portland,97220.0
El Sombrero Mexican Cocina,100.0,10820 NE Sandy Blvd,Portland,97220.0
Be Van Sports Bar,100.0,10834 NE Sandy Blvd,Portland,97220.0
108 Bar N Grill,98.75,10845 NE Halsey St,Portland,97220.0
Citizen Baker,93.5,1089 NE Grand Ave,Portland,97232.0
Catalina's Mexican Restaurant,90.0,10902 NE Sandy Boulevard,Portland,97220.0
Jenni's Sacred Grounds,93.25,10903 SE Powell Blvd,Portland,97266.0
Cortado Coffee,100.0,1094 NE 7th Ave,Portland,97232.0
Crema Coffee & Bakery,97.0,11 NE Martin Luther King Boulevard,Portland,97232.0
Nola Doughnuts,100.0,110 NW 10th Ave,Portland,97209.0
Salt & Straw Central Kitchen,98.5,110 SE 2nd Ave,Portland,97214.0
Crystal Dolphin,99.44444444,110 SE Caruthers St,Portland,97214.0
Mor Furniture For Less,100.0,1100 N Hayden Meadows Dr,Portland,97217.0
Pine State Biscuits SE,89.33333333,1100 SE Division St,Portland,97202.0
Figlia,94.5,1100 SE Grand Ave,Portland,97214.0
"Starbucks Coffee, #24166",98.75,1100 SW 6th Ave 102,Portland,97204.0
Kyoto Sushi,87.0,11003 SE Division St,Portland,97266.0
Gateway Espresso,90.0,1101 NE 99th Ave,Portland,97220.0
Radio Room,92.0,1101 NE Alberta St,Portland,97211.0
Carlita's,93.33333333,1101 NW Northrup St,Portland,97209.0
Genies Cafe,82.33333333,1101 SE Division St,Portland,97202.0
Baskin Robbins Gateway Ice Cream Store,100.0,11011 NE Halsey St,Portland,97220.0
Super 8 Motel Portland Airport,99.25,11011 NE Holman St,Portland,97220.0
"Starbucks Coffee Kearney Plaza, #3380",100.0,1102 NW Lovejoy St,Portland,97209.0
Cool Moon Ice Cream Company,100.0,1105 NW Johnson St,Portland,97209.0
Sungari Pearl,91.66666667,1105 NW Lovejoy St,Portland,97209.0
Via Delizia,96.0,1105 NW Marshall St,Portland,97209.0
Break Bread,100.0,1106 NW Hoyt Street,Portland,97209.0
Cinnabon,97.33333333,1109 Lloyd Center,Portland,97232.0
East Side Delicatessen,100.0,1109 SE Madison St,Portland,97214.0
Norse Hall,100.0,111 NE 11th Ave,Portland,97232.0
Cosube,100.0,111 NE Martin Luther King Jr Blvd,Portland,97232.0
Taqueria Rico Taco,84.66666667,111 SE 181st Ave,Portland,97233.0
"Portland City Grill, #77",78.66666667,111 SW 5th Ave,Portland,97204.0
Portland Rescue Mission,97.5,111 W Burnside St,Portland,97209.0
Noble Rot,97.5,1111 E Burnside St,Portland,97214.0
Michaels Italian,100.0,1111 SE Sandy Blvd,Portland,97214.0
Portland Center for Performing Arts,94.25,1111 SW Broadway,Portland,97205.0
Karam Lebanese Deli & Catering,83.5,1111 SW Jefferson Street,Portland,97205.0
El Indio,90.0,11114 NE Halsey St,Portland,97220.0
Josephs Deli,100.0,11120 NE Halsey St,Portland,97220.0
"Subway Capitol Hwy, #25542",87.0,11120 SW Capitol Hwy,Portland,97219.0
Golden Dynasty,94.0,11128 SE Foster Rd,Portland,97266.0
"Happy Sing Bar,",85.0,11130 SE Powell Blvd,Portland,97266.0
McGillacuddys,97.33333333,11133 NE Halsey St,Portland,97220.0
Kuangs Kitchen,85.0,11137 SW Capitol Hwy,Portland,97219.0
Peets Coffee and Tea,100.0,1114 NW Couch St,Portland,97209.0
Yuan Su Vegetarian Restaurant,92.33333333,11140 SE Powell Blvd,Portland,97266.0
Jet Black Coffee Company,100.0,11150 NE Weider Street,Portland,97220.0
Elenis Philoxenia,88.5,112 NW 9th Ave,Portland,97209.0
Angelinas Greek Arena,100.0,112 NW Couch St,Portland,97209.0
Kells Irish Restaurant and Pub,93.0,112 SW 2nd Ave,Portland,97204.0
La Quinta,97.5,11207 NE Holman St,Portland,97220.0
Roxy,88.5,1121 SW Stark St,Portland,97205.0
Tik Tok Restaurant Bar,90.33333333,11215 SE Division St,Portland,97266.0
"Burgerville, #32",100.0,1122 SE Hawthorne Blvd,Portland,97214.0
QuickFish,93.33333333,1122 SW Stark St,Portland,97205.0
Red Onion,96.0,1123 NW 23rd Ave,Portland,97210.0
Heart 2.0,93.0,1123 SW Washington Street,Portland,97205.0
Tik Tok Deli,97.25,11239 SE Division St,Portland,97266.0
Multnomah Whiskey Library,79.0,1124 SW Alder St,Portland,97205.0
Utopia Restaurant/Lounge,98.33333333,1125 NE 82nd Ave,Portland,97220.0
Heart Bar DBA Aviv/Sudra,89.5,1125 SE Division St,Portland,97202.0
Scandals,96.75,1125 SW Stark St,Portland,97205.0
Candlewood Suites,95.0,11250 NE Holman St,Portland,97220.0
Maddys,99.0,11252 NE Sandy Blvd,Portland,97220.0
Virtuous Pie,92.0,1126 SE Division St 200,Portland,97202.0
Bakers Mark,96.33333333,1126 SE Division St Ste 180,Portland,97202.0
Kinara Thai Bistro,83.25,1126 SW 18th Ave,Portland,97205.0
S'Mores Bar,82.0,1126 SW Alder St,Portland,97205.0
Comma,86.5,1126 SW Morrison Street,Portland,97205.0
First Congregational Church,92.0,1126 SW Park Avenue,Portland,97205.0
Shalom Y'all - Alder,90.66666667,1128 SW Alder St,Portland,97205.0
Piazza Italia,92.25,1129 NW Johnson St,Portland,97209.0
Le Chon,88.25,113 SW Naito Pkwy,Portland,97204.0
Temptation Cafe,85.5,1130 NE Holladay St A,Portland,97232.0
Katie's Backyard,93.0,11307 NE Sandy Blvd,Portland,97220.0
Giorgios Restaurant,100.0,1131 NW Hoyt St,Portland,97209.0
Daily Planet,97.5,11312 SE Powell Blvd,Portland,97266.0
Outside In,89.75,1132 SW 13th Ave,Portland,97205.0
Taste of Excellence,100.0,1132 SW 19th Ave 101,Portland,97205.0
"Sharis Restaurant, #218",94.66666667,11335 NE Airport Way,Portland,97220.0
Oven and Shaker,92.5,1134 NW Everett St,Portland,97209.0
"Starbucks Coffee Pearl District, #466",100.0,1134 NW Glisan St 108,Portland,97209.0
Comfort Suites Southwest,92.33333333,11340 SW 60th Ave,Portland,97219.0
Luke Dorf Catering,100.0,11349 NE Sandy Blvd,Portland,97220.0
"Burgerville, #14",96.33333333,1135 NE Martin Luther King Jr Blvd,Portland,97232.0
Cheryls on 12th,80.0,1135 SW Washington St,Portland,97205.0
"Good Earth Cafe,",84.0,1136 SW 3rd Ave,Portland,97204.0
Saint Cupcake,97.25,1138 SW Morrison St,Portland,97205.0
Jimmy Johns,100.0,1139 NE Broadway,Portland,97232.0
"Red Robin, #092",97.0,1139 NE Grand Ave,Portland,97232.0
Piattino,100.0,1140 NW Everett St,Portland,97209.0
Gateway Breakfast House,100.0,11411 NE Halsey St,Portland,97220.0
Rounders,98.33333333,11416 NE Halsey St,Portland,97220.0
Pappys Bar and Grill,100.0,1144 NE 82nd Ave,Portland,97220.0
Rabbits Cafe,97.5,115 NE 6th Ave,Portland,97232.0
Sizzle Pie,97.0,115 NE Schuyler St,Portland,97212.0
Elephants Delicatessen,100.0,115 NW 22nd Ave,Portland,97210.0
Simple Local Coffee,98.75,115 SW Ash St 100,Portland,97204.0
Residence Inn Portland Downtown Pearl District,99.0,1150 NW 9th Ave,Portland,97209.0
Good Coffee,100.0,1150 SE 12th Ave,Portland,97214.0
3 Sheets At The Harbor,89.66666667,11505 NE Yacht Harbor Dr # 108,Portland,97217.0
Antojitos Mexicanos y Taqueria y Tamaleria,89.0,11516 NE Sandy Blvd,Portland,97220.0
Clarion Hotel Airport,99.0,11518 NE Glenn Widing Dr,Portland,97220.0
Dutch Bros Coffee,95.33333333,11529 NE Glenn Widing Dr,Portland,97220.0
Courtyard by Marriot,97.33333333,11550 NE Airport Way,Portland,97220.0
"Panera Bread Bakery Cafe, #2160",100.0,11563 NE Glenn Widing Dr,Portland,97220.0
Secret Society,100.0,116 NE Russell St,Portland,97212.0
August Moon,90.66666667,116 SW Clay St,Portland,97201.0
Captain Ankeny's Pizza & Pub,81.83333333,116 SW Pine St,Portland,97204.0
New Taipei Noodle Haus,98.33333333,11642 NE Halsey St,Portland,97220.0
Shalom Y'all Restaurant,100.0,117 SE Taylor St Ste 101,Portland,97214.0
Shilo Restaurant and Lounge,95.25,11707 NE Airport Way,Portland,97220.0
Whelan's Irish Pub,96.66666667,11709 SE Division St,Portland,97266.0
Coava,97.25,1171 SW Jefferson St,Portland,97201.0
Montanas Bar,99.25,11721 SE Stark St,Portland,97216.0
Jenny's Jamaincan Food,100.0,11741 SE Foster Road,Portland,97266.0
Beulahland,83.0,118 NE 28th Ave,Portland,97232.0
Cup and Bar,97.5,118 NE Martin Luther King Jr Blvd,Portland,97232.0
Floyds Coffee Shop Old Town,100.0,118 NW Couch St,Portland,97209.0
Parkrose Sports Pub & Grub,86.5,11807 NE Sandy Blvd,Portland,97220.0
Jantzen Beach Hooters,97.875,11875 N Jantzen Dr,Portland,97217.0
Ez Freezy Division Center,94.75,11904 SE Division St,Portland,97266.0
Somus Boba Cafe,91.5,11906 SE Division St,Portland,97266.0
Teriyaki King,92.33333333,11910 SE Division St,Portland,97266.0
"Jantzen Beach Anchor Bar, #35",96.66666667,11915 N Center Ave,Portland,97217.0
Thai 2 go,94.66666667,11920 SE Division St,Portland,97266.0
Springhill Suites by Marriott,100.0,11922 NE Airport Way,Portland,97220.0
"Dottys, #7",98.75,11926 SE Division St,Portland,97266.0
Fairfield Inn By Marriott,100.0,11929 NE Airport Way,Portland,97220.0
"Jantzen Beach Cafe del Toro, #37",100.0,11935 N Center Ave,Portland,97217.0
Homewood Suites by Hilton,97.0,11936 NE Glenn Widing Dr,Portland,97220.0
Best Western Plus,96.33333333,11938 NE Airport Way,Portland,97220.0
Little Caesars Pizza,100.0,11940 NE Glisan,Portland,97220.0
"Jantzen Beach Paddys, #28",100.0,11945 N Center Ave,Portland,97217.0
Dennys #6801,96.0,11950 N Center Ave,Portland,97217.0
"Jantzen Beach Dottys, #24",100.0,11955 N Center Ave,Portland,97217.0
Delicious Donuts Shop,98.5,12 SE Grand Ave,Portland,97214.0
Toro Bravo,96.33333333,120 NE Russell St,Portland,97212.0
Cookie Dough Cafe (The),100.0,120 NW 13th Ave,Portland,97209.0
Hobos,94.75,120 NW 3rd Ave,Portland,97209.0
Mandarin House,91.16666667,120 SW Ankeny St,Portland,97204.0
Okitoki,87.75,120 SW Jefferson St,Portland,97201.0
Fairfield Inn & Suites by Marriott,95.5,1200 N Anchor Way,Portland,97217.0
"Buffalo Wild Wings, #3605",100.0,1200 NE Broadway 20,Portland,97232.0
Shift Drinks,94.66666667,1200 SW Morrison St,Portland,97205.0
PCC Sylvania Campus,90.0,12000 SW 49th Ave,Portland,97219.0
Capers Cafe,97.33333333,12003 NE Ainsworth Cir,Portland,97220.0
"Jantzen Beach McDonalds, #3732",93.33333333,12005 N Center Ave,Portland,97217.0
Menjiro,96.0,12006 N Jantzen Dr,Portland,97217.0
Marrakesh Moroccan,95.0,1201 NW 21st Ave,Portland,97209.0
"Chipotle Mexican Grill, #1358",100.0,1201 NW Lovejoy St,Portland,97209.0
Brazil Grill,98.0,1201 SW 12th Ave,Portland,97205.0
Dil Se Indian Cuisine,98.33333333,1201 SW Jefferson St,Portland,97201.0
Comfort Suites Portland Airport,99.0,12010 NE Airport Way,Portland,97220.0
"Taco Bell, #18619",99.0,12017 NE Glisan St,Portland,97220.0
McDonalds Restaurant,94.66666667,12026 NE Airport Way,Portland,97220.0
Donnie Vegas,95.5,1203 NE Alberta St,Portland,97211.0
Grants Philly CheeseSteak,100.0,1203 NW 23rd Ave,Portland,97210.0
Club Sinrock,99.25,12035 NE Glisan St,Portland,97220.0
"Arbys, #6384",100.0,12035 NE Halsey St,Portland,97220.0
Paleys Place,100.0,1204 NW 21st Ave,Portland,97209.0
Upper Left Roaster,98.33333333,1204 SE Clay St,Portland,97214.0
Hilton Garden Inn,98.0,12048 NE Airport Way,Portland,97220.0
Sweetpea Baking Company,100.0,1205 SE Stark St,Portland,97214.0
"Lardo, Grassa & Beer O'Clock",79.33333333,1205 SW Washington St,Portland,97205.0
Cracker Barrel Jantzen Beach,99.0,12050 N Center Ave,Portland,97217.0
Jantzen Beach Huddys Place,96.33333333,12055 N Center Ave Ste 200,Portland,97217.0
Jantzen Beach CJs Deli,100.0,12055 N Center Ave Ste 300,Portland,97217.0
Cha! Cha! Cha! Mexican Restaurant,94.0,1208 NW Glisan St,Portland,97209.0
Javiers Tacos,84.5,121 N Lombard St,Portland,97217.0
Super 8 Motel,94.66666667,121 NE 181st Ave,Portland,97230.0
Theos,100.0,121 NW 5th Ave,Portland,97209.0
Avid Cider,98.33333333,121 NW 9th Ave Suite 350,Portland,97209.0
Mother's Bistro & Bar,77.0,121 SW 3rd Ave,Portland,97204.0
Cafe Roma,95.5,121 SW Morrison St 130,Portland,97204.0
Jamba Juice,100.0,1210 Lloyd Center,Portland,97232.0
Jantzen Beach BJs Pizza Grill,99.0,12105 N Center Ave,Portland,97217.0
"McDonalds 00203,",97.25,12109 NE Glisan St,Portland,97220.0
"Subway 33030,",98.5,1211 NE Martin Luther King Jr Blvd,Portland,97232.0
"Starbucks Coffee - Pac West, #450",98.5,1211 SW 5th Ave Ste 107,Portland,97204.0
Lums Pig N Pancake,100.0,12110 NE Glisan St,Portland,97220.0
Amai Teriyaki,93.0,12118 NE Glisan St,Portland,97220.0
Los Gorditos Restaurant,83.0,1212 SE Division St,Portland,97202.0
Lardo,97.5,1212 SE Hawthorne Blvd,Portland,97214.0
Taco Time,96.75,12122 SE Division St,Portland,97266.0
"KFC, 080023",98.33333333,12124 NE Glisan St,Portland,97220.0
Anna Bannanas,94.5,1214 NW 21st Ave,Portland,97209.0
"Gourmet Coffee Brew Master Inc,",100.0,1214 SE 7th Ave,Portland,97214.0
Best Western Inn at the Meadows,96.75,1215 N Hayden Meadows Dr,Portland,97217.0
"Jimmy Johns, #2594",99.0,12154 N Pavilion Ave,Portland,97217.0
Apex,98.75,1216 SE Division St,Portland,97202.0
Picasso Pizza Co,98.0,12176 N Pavilion Ave,Portland,97217.0
"Portland Art Museum, Museum Grounds",93.0,1219 SW Park Ave,Portland,97205.0
Little Big Burger,100.0,122 NW 10th Ave,Portland,97209.0
"Stanfords, #71",97.0,12200 N Parker Avenue,Portland,97217.0
West,96.0,1221 NW 21st Ave,Portland,97209.0
21st Century Pizza,98.0,1221 SW Jefferson St,Portland,97201.0
El Palmar,93.0,12222 SE Stark St,Portland,97233.0
Jantzen Beach Oxford Suites,98.0,12226 N Jantzen Dr,Portland,97217.0
Ringlers Annex Cellar Bar,98.0,1223 SW Stark St,Portland,97205.0
Starbucks Coffee 17747 Jantzen Beach,99.0,12235 N Center Ave,Portland,97217.0
"Jantzen Beach Taco Bell, #16521",96.5,12237 N Jantzen Dr,Portland,97217.0
Unity Center for Behavioral Health,94.5,1225 NE 2nd Ave,Portland,97232.0
Up North Surf Club,100.0,1229 N Killingsworth St,Portland,97217.0
Behind the Museum Cafe,96.75,1229 SW 10th Ave,Portland,97205.0
F and B Cafe,100.0,123 NE 3rd Ave,Portland,97232.0
Montesacro PDX,97.5,1230 NW Hoyt St B,Portland,97209.0
Cider Bite,100.0,1230 NW Hoyt St STE A,Portland,97209.0
Eat Your Heart Out,98.5,1230 SE 7th Ave,Portland,97214.0
